usage_id,account_id,feature_name,events_count,active_users,event_date
75,142,code_assist,5,29,2023-05-15
76,434,code_assist,1,8,2023-06-14
77,282,chat_completion,4,35,2023-01-23
78,78,chat_completion,7,42,2023-02-04
79,358,chat_completion,2,28,2023-01-11
80,343,data_insights,6,33,2023-05-12
81,182,dashboard_export,3,38,2023-06-20
82,158,data_insights,4,48,2023-05-24
83,260,dashboard_export,5,13,2023-05-24
84,344,chat_completion,3,12,2023-04-04
85,420,chat_completion,2,30,2023-03-12
86,258,code_assist,2,36,2023-06-14
87,287,dashboard_export,7,45,2023-01-20
88,332,chat_completion,6,26,2023-05-19
89,239,chat_completion,6,2,2023-04-09
90,463,data_insights,4,33,2023-06-10
91,339,code_assist,3,19,2023-04-05
92,383,code_assist,8,13,2023-04-21
93,185,code_assist,2,18,2023-04-16
94,105,data_insights,4,13,2023-02-19
95,338,chat_completion,4,6,2023-02-17
96,485,dashboard_export,6,20,2023-01-20
97,50,chat_completion,6,31,2023-04-11
98,280,chat_completion,2,36,2023-06-13
99,340,data_insights,4,48,2023-04-24
100,367,chat_completion,1,25,2023-05-30
101,370,code_assist,6,45,2023-02-21
102,170,code_assist,3,4,2023-01-08
103,433,data_insights,6,33,2023-04-11
104,221,data_insights,6,42,2023-06-18
105,221,chat_completion,3,47,2023-04-05
106,36,chat_completion,7,40,2023-02-06
107,115,dashboard_export,8,18,2023-06-05
108,326,data_insights,8,19,2023-06-14
109,257,dashboard_export,7,33,2023-01-29
110,298,data_insights,2,22,2023-01-20
111,24,chat_completion,0,32,2023-06-01
112,386,data_insights,7,28,2023-02-26
113,101,code_assist,4,12,2023-01-14
114,409,code_assist,4,38,2023-04-13
115,280,code_assist,6,8,2023-02-10
116,173,data_insights,7,8,2023-05-27
117,95,data_insights,5,11,2023-02-18
118,455,code_assist,5,2,2023-03-10
119,229,code_assist,6,48,2023-05-07
120,75,chat_completion,2,11,2023-03-27
121,242,data_insights,7,3,2023-03-13
122,402,data_insights,5,49,2023-04-13
123,108,data_insights,6,27,2023-01-14
124,114,data_insights,5,42,2023-04-08
125,265,chat_completion,10,19,2023-03-21
126,241,code_assist,2,7,2023-02-19
128,150,dashboard_export,5,20,2023-04-22
129,117,code_assist,2,12,2023-01-05
130,248,data_insights,8,43,2023-04-06
131,497,data_insights,7,37,2023-04-29
132,184,data_insights,2,23,2023-01-11
133,235,chat_completion,3,47,2023-05-21
134,108,dashboard_export,8,4,2023-02-20
135,457,data_insights,5,40,2023-06-15
136,256,data_insights,5,44,2023-04-19
137,130,data_insights,7,40,2023-05-02
138,85,dashboard_export,6,21,2023-04-30
139,498,chat_completion,5,23,2023-03-17
140,287,data_insights,3,23,2023-01-19
141,255,dashboard_export,4,40,2023-01-17
142,216,data_insights,6,29,2023-05-02
143,46,code_assist,6,32,2023-01-10
144,125,chat_completion,3,15,2023-06-23
145,155,chat_completion,6,49,2023-03-14
146,213,dashboard_export,2,6,2023-03-10
147,274,code_assist,3,27,2023-04-05
148,155,chat_completion,5,38,2023-03-16
149,373,code_assist,3,32,2023-02-17
150,323,code_assist,4,39,2023-03-02
151,297,chat_completion,2,2,2023-03-22
152,349,data_insights,2,29,2023-06-15
153,247,data_insights,7,17,2023-03-07
154,122,code_assist,9,29,2023-03-21
155,251,dashboard_export,6,22,2023-06-17
156,142,chat_completion,3,46,2023-02-27
157,177,data_insights,2,38,2023-04-08
158,9,data_insights,6,23,2023-05-08
159,410,chat_completion,6,14,2023-04-21
160,474,chat_completion,3,49,2023-01-02
161,439,dashboard_export,3,19,2023-02-10
162,38,data_insights,4,3,2023-01-15
163,389,chat_completion,6,43,2023-05-17
164,336,code_assist,9,44,2023-01-02
165,191,code_assist,5,18,2023-01-11
166,258,chat_completion,4,32,2023-02-14
167,285,code_assist,5,15,2023-02-06
168,327,dashboard_export,7,3,2023-04-20
169,260,chat_completion,4,26,2023-06-18
170,180,chat_completion,6,14,2023-02-23
171,211,dashboard_export,7,2,2023-06-01
172,397,chat_completion,3,33,2023-04-29
173,179,dashboard_export,5,23,2023-05-11
174,110,code_assist,6,33,2023-06-18
175,232,data_insights,4,33,2023-06-07
176,311,dashboard_export,3,11,2023-03-21
177,485,dashboard_export,7,41,2023-02-10
178,441,chat_completion,2,41,2023-03-06
179,28,dashboard_export,3,38,2023-05-29
180,491,chat_completion,5,49,2023-01-10
181,253,dashboard_export,7,28,2023-03-24
182,383,data_insights,6,48,2023-02-19
183,450,code_assist,5,48,2023-05-16
184,55,dashboard_export,5,39,2023-04-04
185,155,chat_completion,5,14,2023-06-07
186,244,chat_completion,5,9,2023-04-29
187,218,chat_completion,3,6,2023-01-18
188,35,data_insights,4,29,2023-06-21
189,453,dashboard_export,5,31,2023-04-07
190,372,dashboard_export,8,45,2023-02-26
191,500,data_insights,4,41,2023-05-27
192,411,chat_completion,2,4,2023-02-15
193,201,dashboard_export,4,15,2023-04-11
194,75,data_insights,6,33,2023-05-12
195,401,code_assist,7,37,2023-05-27
196,126,code_assist,8,21,2023-03-22
197,82,code_assist,4,23,2023-04-23
198,238,dashboard_export,6,22,2023-04-12
199,280,chat_completion,10,29,2023-05-13
200,455,code_assist,3,10,2023-01-22
201,288,dashboard_export,6,45,2023-03-26
202,112,code_assist,6,25,2023-01-02
203,369,data_insights,6,18,2023-05-19
204,453,chat_completion,4,33,2023-03-14
205,43,dashboard_export,6,26,2023-05-01
206,440,code_assist,2,20,2023-04-15
207,400,code_assist,3,44,2023-04-02
208,350,dashboard_export,6,12,2023-01-04
209,300,code_assist,7,46,2023-04-12
210,104,data_insights,3,20,2023-05-04
211,274,code_assist,4,19,2023-01-06
212,229,code_assist,4,29,2023-01-18
213,139,data_insights,3,16,2023-05-21
214,72,data_insights,7,28,2023-02-10
215,10,dashboard_export,4,40,2023-02-18
216,289,dashboard_export,8,36,2023-02-22
217,82,dashboard_export,6,21,2023-02-05
218,92,data_insights,4,43,2023-02-09
219,453,chat_completion,2,41,2023-04-30
220,51,chat_completion,5,25,2023-01-24
221,500,chat_completion,1,35,2023-01-25
222,447,data_insights,4,18,2023-03-21
223,210,data_insights,4,42,2023-05-09
224,476,chat_completion,5,25,2023-02-03
225,230,dashboard_export,4,19,2023-03-29
226,394,data_insights,6,35,2023-01-29
227,303,chat_completion,5,19,2023-04-13
228,401,dashboard_export,4,7,2023-03-07
229,254,data_insights,4,22,2023-04-25
230,475,chat_completion,8,20,2023-06-16
231,1,chat_completion,3,22,2023-04-13
232,5,data_insights,6,42,2023-01-18
233,138,data_insights,4,28,2023-04-23
234,153,code_assist,4,34,2023-03-11
235,439,code_assist,7,5,2023-02-01
236,52,data_insights,9,39,2023-02-25
237,47,code_assist,4,23,2023-06-02
238,338,chat_completion,3,32,2023-04-14
239,358,data_insights,2,49,2023-03-22
240,436,code_assist,6,48,2023-04-11
241,140,code_assist,7,34,2023-05-29
242,421,code_assist,6,1,2023-03-08
243,340,dashboard_export,2,30,2023-03-31
244,114,code_assist,3,43,2023-03-22
245,17,data_insights,5,3,2023-06-06
246,393,chat_completion,5,15,2023-01-27
247,65,dashboard_export,4,45,2023-06-13
248,223,code_assist,5,49,2023-03-18
249,105,data_insights,6,20,2023-06-02
250,166,chat_completion,10,33,2023-05-08
251,500,chat_completion,7,43,2023-06-07
252,281,chat_completion,7,50,2023-05-07
253,441,chat_completion,7,32,2023-04-22
254,364,code_assist,8,15,2023-04-10
255,327,data_insights,5,37,2023-02-04
256,307,dashboard_export,6,7,2023-02-23
257,270,chat_completion,2,37,2023-03-30
258,190,code_assist,4,24,2023-01-14
259,451,chat_completion,3,21,2023-05-22
260,374,dashboard_export,9,18,2023-03-20
261,320,data_insights,5,13,2023-05-05
262,347,code_assist,3,46,2023-06-06
263,202,data_insights,5,50,2023-02-18
264,423,code_assist,7,6,2023-05-10
265,307,data_insights,4,31,2023-06-27
266,326,code_assist,4,43,2023-06-27
267,458,data_insights,8,29,2023-06-07
268,138,chat_completion,4,45,2023-02-21
269,389,chat_completion,3,34,2023-04-22
270,227,dashboard_export,6,22,2023-01-01
271,210,data_insights,4,23,2023-02-24
272,444,chat_completion,4,22,2023-04-25
273,217,code_assist,5,33,2023-04-04
274,411,chat_completion,6,23,2023-01-26
275,189,dashboard_export,4,42,2023-03-09
276,210,code_assist,4,40,2023-04-12
277,186,dashboard_export,4,19,2023-06-03
278,153,dashboard_export,4,34,2023-01-11
279,134,code_assist,4,27,2023-03-31
280,112,dashboard_export,5,3,2023-05-28
281,173,chat_completion,5,12,2023-06-20
282,485,code_assist,4,22,2023-05-23
283,496,dashboard_export,6,39,2023-01-20
284,479,data_insights,2,39,2023-05-02
285,68,chat_completion,4,3,2023-06-27
286,249,data_insights,2,28,2023-05-09
287,173,dashboard_export,3,35,2023-06-19
288,324,data_insights,5,17,2023-04-29
289,387,code_assist,6,21,2023-06-12
290,423,dashboard_export,5,37,2023-06-27
291,79,code_assist,1,1,2023-03-11
292,312,dashboard_export,3,23,2023-04-05
293,91,data_insights,9,49,2023-04-12
294,59,code_assist,3,38,2023-01-23
295,283,data_insights,4,23,2023-01-25
296,300,code_assist,1,31,2023-03-24
297,140,code_assist,1,50,2023-05-12
298,108,data_insights,9,34,2023-01-09
299,11,code_assist,7,15,2023-04-01
300,408,dashboard_export,5,49,2023-03-18
301,297,dashboard_export,7,5,2023-04-09
302,381,chat_completion,4,44,2023-03-19
303,177,data_insights,3,35,2023-03-06
304,35,code_assist,3,15,2023-02-06
305,169,data_insights,2,30,2023-05-09
306,141,dashboard_export,7,45,2023-04-02
307,200,dashboard_export,5,7,2023-06-08
308,20,chat_completion,8,28,2023-06-21
309,458,dashboard_export,2,38,2023-01-21
310,183,dashboard_export,7,40,2023-05-14
311,412,code_assist,9,6,2023-02-08
312,206,data_insights,5,14,2023-01-23
313,241,code_assist,4,31,2023-04-20
314,488,dashboard_export,4,38,2023-02-02
315,465,code_assist,3,17,2023-02-20
316,443,chat_completion,3,13,2023-04-16
317,476,dashboard_export,7,34,2023-04-12
318,37,data_insights,5,37,2023-01-20
319,432,data_insights,3,15,2023-02-19
320,321,code_assist,5,37,2023-02-05
321,383,chat_completion,3,47,2023-02-22
322,334,data_insights,4,27,2023-03-18
323,320,data_insights,2,43,2023-03-27
324,158,code_assist,6,13,2023-02-24
325,479,data_insights,2,30,2023-03-27
326,479,code_assist,5,41,2023-04-30
327,90,dashboard_export,1,36,2023-04-13
328,166,chat_completion,3,17,2023-03-17
329,218,data_insights,4,42,2023-02-20
330,116,dashboard_export,2,2,2023-05-10
331,69,chat_completion,2,20,2023-04-30
332,327,chat_completion,3,39,2023-02-11
333,419,data_insights,3,39,2023-05-20
334,264,code_assist,6,3,2023-06-01
335,385,code_assist,8,29,2023-04-13
336,308,dashboard_export,8,1,2023-01-07
337,123,dashboard_export,4,34,2023-02-20
338,59,data_insights,7,23,2023-05-17
339,408,code_assist,4,26,2023-05-14
340,427,data_insights,1,23,2023-03-14
341,238,code_assist,5,28,2023-03-20
342,386,dashboard_export,4,15,2023-01-22
343,157,code_assist,6,36,2023-04-11
344,63,dashboard_export,9,8,2023-05-27
345,177,code_assist,7,45,2023-03-24
346,140,dashboard_export,7,26,2023-04-22
347,137,dashboard_export,6,33,2023-01-23
348,353,dashboard_export,5,15,2023-05-11
349,387,code_assist,6,30,2023-02-19
350,43,data_insights,3,39,2023-01-11
351,56,chat_completion,5,44,2023-02-13
352,449,chat_completion,6,49,2023-04-10
353,299,data_insights,4,22,2023-04-11
354,12,code_assist,6,46,2023-03-03
355,345,dashboard_export,2,20,2023-03-12
356,499,code_assist,7,45,2023-03-29
357,326,code_assist,2,3,2023-05-14
358,272,dashboard_export,5,23,2023-06-14
359,96,dashboard_export,5,34,2023-02-18
360,344,data_insights,11,27,2023-04-07
361,20,code_assist,1,39,2023-02-26
362,42,code_assist,6,24,2023-01-17
363,482,chat_completion,8,10,2023-06-08
364,196,dashboard_export,8,1,2023-01-01
365,95,chat_completion,5,4,2023-03-22
366,405,code_assist,5,42,2023-01-23
367,456,chat_completion,2,47,2023-03-22
368,19,chat_completion,3,40,2023-04-13
369,85,data_insights,3,34,2023-03-06
370,228,dashboard_export,4,40,2023-06-10
371,349,data_insights,5,28,2023-03-07
372,351,data_insights,9,44,2023-03-23
373,416,data_insights,4,5,2023-06-22
374,316,code_assist,8,21,2023-04-01
375,243,dashboard_export,5,5,2023-02-08
376,234,chat_completion,4,18,2023-06-02
377,318,dashboard_export,4,44,2023-06-22
378,216,chat_completion,1,15,2023-05-17
379,432,data_insights,5,38,2023-01-30
380,449,dashboard_export,5,31,2023-01-16
381,437,dashboard_export,8,3,2023-04-05
382,96,chat_completion,5,25,2023-04-09
383,431,chat_completion,6,12,2023-02-12
384,422,data_insights,2,3,2023-04-30
385,198,dashboard_export,5,36,2023-01-23
386,327,data_insights,5,11,2023-05-14
387,439,dashboard_export,3,20,2023-01-30
388,466,code_assist,4,50,2023-04-05
389,144,chat_completion,5,34,2023-04-20
390,126,code_assist,9,36,2023-04-18
391,66,chat_completion,7,47,2023-01-21
392,466,dashboard_export,4,16,2023-06-15
393,226,code_assist,6,29,2023-03-18
394,485,data_insights,2,41,2023-04-30
395,450,code_assist,5,40,2023-02-11
396,16,chat_completion,6,16,2023-05-06
397,296,chat_completion,1,17,2023-03-28
398,174,dashboard_export,2,2,2023-04-14
399,23,code_assist,4,47,2023-01-19
400,227,code_assist,4,41,2023-03-24
401,247,chat_completion,4,15,2023-01-27
402,307,code_assist,3,44,2023-04-20
403,58,chat_completion,6,20,2023-01-19
404,140,dashboard_export,9,38,2023-05-08
405,346,data_insights,4,8,2023-06-23
406,184,code_assist,7,49,2023-04-17
407,298,dashboard_export,5,28,2023-01-22
408,132,chat_completion,5,46,2023-04-14
409,175,code_assist,4,37,2023-03-24
410,243,data_insights,7,2,2023-04-14
411,279,chat_completion,4,39,2023-04-15
412,251,code_assist,4,41,2023-03-03
413,79,chat_completion,8,18,2023-02-20
414,270,data_insights,6,17,2023-01-15
415,489,chat_completion,3,48,2023-06-18
416,12,code_assist,5,24,2023-06-26
417,259,data_insights,5,3,2023-01-03
418,139,dashboard_export,8,5,2023-03-10
419,252,chat_completion,4,5,2023-04-17
420,42,data_insights,7,8,2023-06-24
421,138,chat_completion,4,45,2023-06-19
422,215,chat_completion,7,31,2023-05-16
423,257,dashboard_export,6,22,2023-06-02
424,392,data_insights,6,27,2023-05-02
425,451,code_assist,6,16,2023-04-10
426,40,data_insights,7,34,2023-06-23
427,189,chat_completion,4,31,2023-05-01
428,4,chat_completion,9,4,2023-01-30
429,224,chat_completion,11,22,2023-05-27
430,61,dashboard_export,2,31,2023-01-21
431,162,chat_completion,4,28,2023-01-25
432,48,code_assist,3,1,2023-03-08
433,127,dashboard_export,2,40,2023-03-25
434,300,dashboard_export,5,47,2023-04-28
435,412,data_insights,3,33,2023-03-27
436,466,dashboard_export,3,23,2023-02-26
437,439,code_assist,10,13,2023-03-10
438,196,dashboard_export,6,22,2023-02-11
439,330,dashboard_export,5,20,2023-01-31
440,275,dashboard_export,8,14,2023-06-15
441,400,data_insights,7,20,2023-05-07
442,132,chat_completion,7,24,2023-05-28
443,328,data_insights,9,20,2023-06-05
444,463,dashboard_export,5,11,2023-02-16
445,380,dashboard_export,6,7,2023-04-21
446,465,code_assist,12,14,2023-04-23
447,76,code_assist,3,28,2023-04-30
448,236,chat_completion,8,46,2023-05-13
449,170,code_assist,5,8,2023-04-12
450,385,dashboard_export,5,10,2023-04-16
451,319,dashboard_export,5,14,2023-02-21
452,487,chat_completion,2,14,2023-05-08
453,348,data_insights,2,35,2023-05-03
454,299,chat_completion,4,3,2023-03-31
455,453,data_insights,4,44,2023-04-01
456,144,data_insights,8,16,2023-01-09
457,215,code_assist,6,38,2023-03-23
458,485,code_assist,4,41,2023-02-08
459,424,dashboard_export,6,43,2023-06-22
460,205,data_insights,3,5,2023-04-17
461,157,chat_completion,6,42,2023-01-15
462,155,data_insights,7,14,2023-02-24
463,120,chat_completion,3,25,2023-04-14
464,124,dashboard_export,3,35,2023-03-13
465,429,dashboard_export,2,47,2023-05-30
466,23,dashboard_export,6,35,2023-06-09
467,255,code_assist,1,26,2023-02-01
469,135,code_assist,5,35,2023-03-02
470,42,dashboard_export,5,18,2023-01-09
471,74,code_assist,3,45,2023-02-11
472,348,data_insights,6,31,2023-06-04
473,207,data_insights,5,22,2023-06-02
474,373,data_insights,3,2,2023-05-24
475,125,code_assist,6,11,2023-05-06
476,131,chat_completion,11,16,2023-01-14
477,4,data_insights,8,32,2023-03-15
478,236,code_assist,4,46,2023-03-24
479,344,dashboard_export,6,12,2023-06-09
480,306,data_insights,7,48,2023-04-08
481,167,chat_completion,7,48,2023-03-13
482,478,code_assist,6,13,2023-02-07
483,64,code_assist,8,44,2023-05-15
484,341,data_insights,3,17,2023-01-17
485,4,data_insights,6,22,2023-02-01
486,389,data_insights,4,12,2023-04-25
487,220,code_assist,4,20,2023-03-23
488,274,chat_completion,5,33,2023-06-27
489,154,chat_completion,3,28,2023-03-18
490,402,data_insights,10,29,2023-01-16
491,165,data_insights,7,1,2023-04-27
492,8,code_assist,7,17,2023-05-19
493,209,chat_completion,9,27,2023-06-29
494,154,dashboard_export,6,23,2023-01-17
495,281,chat_completion,5,34,2023-04-23
496,402,code_assist,6,48,2023-01-02
497,201,code_assist,8,37,2023-03-16
498,476,data_insights,9,43,2023-05-29
499,210,data_insights,4,7,2023-01-06
500,228,chat_completion,6,41,2023-06-26
501,235,code_assist,2,35,2023-03-28
502,95,code_assist,7,18,2023-04-29
503,360,chat_completion,9,26,2023-03-18
504,67,data_insights,2,32,2023-01-22
505,316,code_assist,2,10,2023-06-21
506,20,code_assist,3,15,2023-03-25
507,217,data_insights,7,23,2023-03-16
508,118,code_assist,6,23,2023-04-02
509,29,code_assist,5,42,2023-03-17
510,81,data_insights,3,30,2023-05-14
511,321,dashboard_export,5,16,2023-04-22
512,336,code_assist,5,5,2023-04-24
513,499,dashboard_export,5,30,2023-06-15
514,374,data_insights,0,9,2023-01-04
515,325,code_assist,6,44,2023-01-25
516,390,data_insights,7,48,2023-02-21
517,263,dashboard_export,2,45,2023-01-07
518,98,dashboard_export,3,22,2023-05-31
519,249,code_assist,6,36,2023-05-05
520,249,data_insights,4,44,2023-05-15
521,155,data_insights,3,21,2023-04-10
522,131,code_assist,3,33,2023-02-24
523,415,chat_completion,5,45,2023-04-17
524,371,data_insights,5,20,2023-03-17
525,251,dashboard_export,6,1,2023-05-03
526,303,chat_completion,5,13,2023-01-23
527,470,chat_completion,2,23,2023-06-06
528,484,code_assist,5,2,2023-01-27
529,291,dashboard_export,6,31,2023-01-25
530,371,chat_completion,9,15,2023-05-29
531,176,data_insights,3,15,2023-04-21
532,443,dashboard_export,8,29,2023-05-28
533,382,chat_completion,3,6,2023-05-14
534,229,dashboard_export,4,28,2023-02-06
535,356,code_assist,6,31,2023-05-20
536,462,code_assist,9,7,2023-01-19
537,185,code_assist,3,47,2023-02-01
538,200,dashboard_export,9,3,2023-06-15
539,129,data_insights,6,19,2023-03-24
540,80,code_assist,7,27,2023-05-07
541,351,chat_completion,4,14,2023-02-18
542,63,dashboard_export,4,22,2023-06-28
543,413,chat_completion,2,45,2023-04-18
544,157,data_insights,4,6,2023-06-13
545,356,dashboard_export,4,26,2023-05-08
546,290,chat_completion,5,19,2023-03-04
547,480,code_assist,7,35,2023-04-21
548,106,chat_completion,5,8,2023-03-05
549,187,code_assist,9,20,2023-04-21
550,412,dashboard_export,5,16,2023-06-17
551,364,data_insights,6,49,2023-06-06
552,213,data_insights,4,23,2023-03-18
553,346,data_insights,8,48,2023-05-11
554,287,code_assist,7,18,2023-01-11
555,12,data_insights,3,39,2023-04-21
556,158,dashboard_export,4,30,2023-04-13
557,377,code_assist,3,26,2023-02-02
558,419,code_assist,5,45,2023-06-16
559,41,chat_completion,9,37,2023-01-21
560,195,dashboard_export,5,46,2023-06-18
561,52,chat_completion,8,23,2023-02-15
562,207,data_insights,8,48,2023-05-26
563,165,chat_completion,8,18,2023-02-19
564,469,code_assist,4,37,2023-02-07
565,352,chat_completion,4,41,2023-03-17
566,148,data_insights,6,19,2023-05-28
567,248,data_insights,3,18,2023-03-19
568,235,code_assist,5,8,2023-05-09
569,275,code_assist,7,39,2023-03-05
570,11,dashboard_export,2,3,2023-04-05
571,288,dashboard_export,9,6,2023-02-16
572,450,code_assist,3,14,2023-01-18
573,232,code_assist,5,23,2023-04-25
574,430,data_insights,5,38,2023-01-20
575,263,data_insights,4,41,2023-01-21
576,215,data_insights,7,32,2023-01-06
577,291,chat_completion,4,3,2023-01-09
578,154,dashboard_export,5,14,2023-05-26
579,216,chat_completion,5,12,2023-03-19
580,230,code_assist,6,26,2023-06-05
581,250,dashboard_export,3,26,2023-02-26
582,75,data_insights,8,26,2023-06-10
583,240,chat_completion,8,36,2023-04-28
584,249,data_insights,4,18,2023-04-13
585,351,data_insights,1,22,2023-02-13
586,79,data_insights,4,37,2023-02-01
587,284,dashboard_export,3,25,2023-06-01
588,369,data_insights,7,41,2023-06-17
589,14,dashboard_export,4,25,2023-02-24
590,431,data_insights,3,47,2023-04-13
591,292,dashboard_export,4,26,2023-04-17
592,225,code_assist,4,24,2023-01-24
593,359,dashboard_export,3,4,2023-05-17
594,498,code_assist,5,18,2023-06-27
595,168,dashboard_export,7,8,2023-06-27
596,397,data_insights,4,44,2023-06-22
597,59,chat_completion,5,34,2023-03-13
598,236,code_assist,5,18,2023-02-12
599,181,chat_completion,7,39,2023-03-13
600,283,dashboard_export,5,24,2023-04-17
601,270,dashboard_export,4,13,2023-03-12
602,286,code_assist,9,47,2023-02-14
603,371,dashboard_export,4,29,2023-02-17
604,24,code_assist,3,19,2023-02-12
605,398,data_insights,2,44,2023-01-06
606,38,data_insights,8,7,2023-03-31
607,33,data_insights,3,40,2023-05-14
608,188,chat_completion,5,23,2023-01-22
609,87,data_insights,2,23,2023-05-09
610,469,chat_completion,4,37,2023-05-25
611,150,chat_completion,2,22,2023-01-18
612,233,code_assist,2,31,2023-06-27
613,73,chat_completion,5,10,2023-05-18
614,477,chat_completion,8,44,2023-01-07
615,155,dashboard_export,3,14,2023-04-21
616,75,code_assist,2,43,2023-06-28
617,239,dashboard_export,6,47,2023-06-21
618,260,code_assist,5,8,2023-05-18
619,404,chat_completion,5,30,2023-01-12
620,475,chat_completion,3,35,2023-06-22
621,55,data_insights,4,49,2023-06-21
622,126,data_insights,5,49,2023-04-09
623,65,dashboard_export,8,48,2023-04-13
624,362,dashboard_export,3,44,2023-04-24
625,410,code_assist,6,35,2023-05-20
626,343,dashboard_export,7,40,2023-03-05
627,6,dashboard_export,4,8,2023-05-08
628,234,data_insights,2,2,2023-03-13
629,206,chat_completion,6,8,2023-01-29
630,250,code_assist,7,22,2023-05-08
631,58,code_assist,9,48,2023-03-18
632,257,chat_completion,9,47,2023-04-29
633,362,dashboard_export,8,15,2023-04-15
634,185,data_insights,4,45,2023-03-20
635,322,data_insights,2,5,2023-05-04
636,481,chat_completion,4,35,2023-04-09
637,167,code_assist,4,1,2023-04-18
638,491,data_insights,4,11,2023-02-27
639,159,chat_completion,6,43,2023-04-04
640,186,data_insights,7,10,2023-01-12
641,302,chat_completion,5,39,2023-03-08
642,198,data_insights,8,41,2023-06-17
643,224,data_insights,10,41,2023-04-25
644,243,data_insights,6,37,2023-03-21
645,284,dashboard_export,6,3,2023-02-08
646,7,code_assist,10,7,2023-04-07
647,421,data_insights,5,17,2023-04-28
648,428,chat_completion,3,8,2023-06-15
649,361,data_insights,4,7,2023-02-19
650,488,data_insights,4,11,2023-06-14
651,37,code_assist,6,4,2023-01-10
652,445,data_insights,6,29,2023-02-07
653,155,data_insights,5,15,2023-02-21
654,27,data_insights,5,38,2023-06-28
655,215,data_insights,4,42,2023-04-23
656,374,dashboard_export,8,16,2023-03-09
657,104,dashboard_export,7,22,2023-06-06
658,37,data_insights,4,36,2023-04-24
659,17,dashboard_export,5,46,2023-03-16
660,396,data_insights,3,13,2023-03-19
661,489,data_insights,5,44,2023-06-16
662,87,code_assist,2,39,2023-05-24
663,443,chat_completion,8,40,2023-03-23
664,118,dashboard_export,4,45,2023-05-10
665,34,chat_completion,7,35,2023-05-27
666,496,dashboard_export,4,14,2023-01-28
667,71,code_assist,5,32,2023-05-21
668,131,chat_completion,4,50,2023-04-08
669,405,dashboard_export,5,13,2023-06-11
670,40,dashboard_export,5,38,2023-02-16
671,276,data_insights,3,8,2023-03-27
672,470,code_assist,5,9,2023-06-11
673,80,data_insights,2,30,2023-03-10
674,230,data_insights,3,30,2023-05-20
675,463,chat_completion,5,50,2023-02-03
