subscription_id,account_id,plan_type,mrr_usd,subscription_start,subscription_end
84,175,Free,108.98,2022-12-30,2023-02-08
85,58,Pro,53.58,2021-11-21,2022-03-03
86,108,Free,445.51,2023-01-05,2023-07-16
87,312,Pro,167.06,2023-06-26,2024-04-07
88,278,Pro,161.47,2022-07-01,2023-01-19
89,221,Pro,226.26,2022-01-14,2022-08-08
90,277,Free,164.09,2022-01-08,2022-08-08
91,496,Free,0.0,2022-03-28,2022-06-10
92,192,Pro,56.88,2021-06-12,2022-03-24
93,134,Free,497.72,2022-04-04,2022-07-21
94,372,Pro,0.0,2021-03-07,2021-10-04
95,30,Free,93.39,2022-01-13,2022-04-18
96,456,Free,181.04,2023-06-26,2024-02-24
97,296,Enterprise,428.08,2021-09-13,2022-09-11
98,150,Free,205.74,2023-09-08,
99,109,Pro,0.0,2023-06-07,2024-02-13
100,52,Enterprise,418.61,2021-04-29,2021-10-26
101,97,Pro,0.0,2021-04-29,2021-09-08
102,528,Pro,422.57,2022-09-28,2023-07-02
103,49,Pro,429.24,2023-03-30,2023-12-28
104,445,Free,0.0,2022-02-20,2022-12-08
105,179,Pro,230.39,2022-05-13,2022-11-24
106,153,Free,48.22,2021-11-26,2022-02-16
107,327,Free,41.39,2023-10-22,2023-12-16
108,319,Free,0.0,2022-09-20,2023-03-28
109,362,Pro,81.69,2021-09-26,2022-03-08
110,42,Free,45.63,2023-05-01,2024-03-14
111,151,Free,567.48,2021-01-04,2021-09-10
112,508,Free,46.0,2022-12-11,2023-07-02
113,464,Free,40.92,2022-07-19,2022-08-24
114,157,Free,167.04,2023-05-06,2024-01-19
115,493,Free,203.46,2022-06-22,2022-09-28
116,145,Free,0.0,2023-04-09,2024-03-10
117,108,Pro,42.73,2022-09-18,2023-01-06
118,114,Pro,0.0,2023-03-02,2023-07-12
119,59,Pro,49.65,2023-02-23,2023-09-30
120,124,Pro,58.63,2022-09-20,2023-08-28
121,89,Free,0.0,2023-09-21,2024-09-19
122,476,Enterprise,416.66,2023-02-28,2024-01-21
123,433,Free,491.08,2021-09-30,2022-07-27
124,139,Free,48.46,2023-08-08,2024-05-03
125,135,Enterprise,91.08,2021-10-19,2022-07-11
126,228,Pro,82.48,2022-02-08,2022-08-11
127,417,Pro,0.0,2022-10-23,2023-10-21
128,270,Pro,233.96,2022-11-04,2023-07-02
129,105,Free,101.9,2023-06-23,2023-08-14
130,411,Pro,107.52,2021-02-27,2021-06-20
131,44,Pro,0.0,2023-05-17,2023-12-16
132,512,Free,230.58,2021-04-13,2021-05-19
133,213,Pro,47.2,2023-12-28,2024-02-07
134,478,Pro,415.58,2022-04-26,2023-02-12
135,348,Free,0.0,2022-06-28,
136,276,Enterprise,115.71,2023-02-01,2023-10-28
137,22,Free,216.5,2022-12-12,2022-11-25
138,372,Free,0.0,2023-09-10,2024-04-22
139,36,Enterprise,0.0,2023-05-10,2023-12-24
140,132,Pro,503.95,2021-05-04,2021-11-08
141,245,Pro,79.84,2022-12-13,2023-02-21
142,291,Pro,89.1,2023-02-07,2023-05-29
143,454,Free,103.75,2021-12-01,2022-02-24
144,101,Pro,81.26,2023-02-02,2023-03-28
145,319,Enterprise,55.6,2023-09-08,2024-03-16
146,62,Free,113.56,2023-09-09,2024-08-02
147,226,Free,80.58,2022-12-07,
148,41,Pro,0.0,2022-10-10,2023-02-16
149,473,Pro,48.66,2023-04-03,2023-07-07
150,423,Free,56.87,2022-12-24,2023-02-22
151,72,Pro,202.29,2021-12-30,2022-11-16
152,163,Pro,164.86,2021-02-12,2021-12-01
153,244,Free,39.86,2021-07-24,2022-04-08
154,494,Free,208.32,2021-11-27,
155,54,Free,104.27,2021-06-20,2021-09-20
156,376,Pro,0.0,2023-01-18,2023-05-03
157,288,Pro,0.0,2022-01-31,
158,320,Pro,0.0,2023-01-23,2023-05-13
159,180,Free,454.19,2023-03-24,2024-02-19
160,182,Pro,0.0,2022-02-05,2022-08-06
161,527,Free,216.96,2022-08-01,2022-11-12
162,207,Free,41.4,2022-03-11,2022-06-12
163,99,Pro,79.33,2021-04-21,2021-07-24
164,431,Pro,93.61,2022-01-20,2022-07-12
165,70,Free,43.74,2023-03-18,
166,291,Pro,198.24,2022-11-19,2023-11-18
167,395,Free,92.75,2022-08-08,2022-10-13
168,360,Free,0.0,2023-11-02,2024-05-29
169,271,Enterprise,110.37,2023-01-22,2023-09-23
170,280,Pro,462.33,2023-04-01,2023-12-26
171,118,Pro,491.87,2021-09-22,2022-07-27
172,489,Free,0.0,2022-02-24,2022-05-30
173,245,Free,0.0,2023-02-01,2023-05-12
174,246,Free,188.07,2022-10-09,2023-05-17
175,115,Free,508.67,2021-05-09,2021-10-06
176,412,Pro,406.91,2022-05-16,
177,219,Pro,42.79,2021-10-15,
178,352,Free,92.59,2023-12-10,2024-02-27
179,419,Pro,192.29,2023-10-22,2024-01-23
180,401,Free,166.99,2023-04-23,2023-12-11
181,1,Free,576.84,2023-01-25,2023-09-30
182,205,Free,497.48,2021-04-02,2021-10-08
183,58,Enterprise,57.86,2022-10-08,2023-09-05
184,180,Free,438.95,2022-12-08,2023-02-11
185,365,Enterprise,100.34,2023-08-27,
186,217,Pro,96.28,2023-05-31,2024-04-18
187,381,Pro,167.54,2023-05-13,2023-10-13
188,27,Pro,53.43,2022-11-13,2023-10-16
189,494,Pro,0.0,2022-02-24,
190,36,Free,0.0,2023-05-31,2024-01-27
191,317,Pro,100.22,2022-12-08,2023-08-31
192,462,Free,568.05,2023-12-18,2024-04-24
193,210,Pro,55.29,2021-12-19,
194,378,Free,42.4,2023-04-18,2024-01-03
195,465,Pro,92.94,2022-01-29,2022-07-03
196,462,Free,189.7,2022-04-10,2022-08-21
197,23,Free,534.62,2023-04-28,2023-11-02
198,250,Pro,212.55,2023-08-01,2024-03-31
199,403,Enterprise,176.84,2022-10-18,2023-05-28
200,180,Pro,575.58,2023-03-14,2023-10-31
201,58,Free,480.46,2021-12-30,
202,103,Enterprise,107.8,2023-12-07,2024-03-19
203,230,Pro,236.17,2022-03-12,2022-05-29
204,5,Free,85.75,2023-03-10,2023-06-02
205,290,Pro,230.47,2022-12-10,2023-07-01
206,7,Pro,0.0,2022-05-09,
207,137,Pro,526.19,2023-04-13,2023-11-07
208,437,Enterprise,0.0,2021-11-15,2022-11-07
209,431,Free,575.39,2021-11-02,2022-06-11
210,19,Free,587.0,2021-12-02,2022-10-25
211,15,Enterprise,52.98,2023-07-12,2024-02-06
212,67,Enterprise,85.34,2023-07-20,2023-10-04
213,454,Enterprise,560.96,2021-12-24,2022-10-29
214,512,Free,0.0,2022-01-21,2022-06-20
215,441,Pro,575.25,2021-10-18,2022-02-19
216,51,Free,102.21,2023-07-25,2023-11-28
217,112,Enterprise,47.71,2021-06-25,2022-02-17
218,60,Pro,573.29,2021-07-20,2022-03-08
219,170,Pro,201.02,2023-05-15,
220,459,Pro,173.81,2021-05-22,2021-09-21
221,387,Free,48.02,2022-03-22,2022-08-23
222,454,Free,114.45,2022-01-01,2021-12-09
223,276,Pro,189.65,2022-11-22,2023-04-15
224,336,Free,218.51,2023-12-05,2024-07-17
225,9,Pro,202.84,2022-11-27,2022-11-17
226,277,Pro,444.14,2021-10-26,2022-05-17
227,159,Free,0.0,2022-02-15,2022-05-15
228,13,Enterprise,53.65,2023-06-19,2024-04-15
229,371,Enterprise,196.58,2023-03-25,2023-06-17
230,24,Pro,58.64,2022-01-29,2022-09-07
231,275,Enterprise,118.2,2022-02-25,2022-09-27
232,63,Free,160.39,2021-01-04,2021-12-27
233,286,Enterprise,214.36,2021-02-08,2021-06-23
234,445,Free,0.0,2023-05-19,2024-01-29
235,364,Pro,90.14,2021-04-22,2022-02-13
236,294,Enterprise,46.47,2023-03-08,
237,423,Free,189.7,2022-12-11,2023-10-14
238,400,Pro,104.58,2021-12-23,2022-06-26
239,134,Free,46.67,2023-06-11,2024-03-12
240,330,Pro,54.56,2023-10-14,2023-12-08
241,152,Pro,50.06,2021-12-31,
242,121,Free,0.0,2022-10-25,2023-05-28
243,493,Pro,0.0,2022-05-21,2023-03-22
244,319,Free,100.23,2021-12-17,
245,159,Free,93.07,2023-05-25,2023-11-13
246,43,Free,0.0,2022-09-21,2022-12-13
247,24,Pro,114.49,2022-01-22,2022-05-04
248,146,Free,552.62,2021-08-16,2021-10-10
249,348,Pro,99.83,2021-10-22,
250,390,Enterprise,195.07,2023-08-04,
251,253,Enterprise,452.64,2021-02-20,2021-05-02
252,168,Enterprise,54.42,2021-08-28,2022-04-09
253,339,Pro,203.69,2023-05-09,2024-03-14
254,206,Free,105.02,2023-12-11,2024-05-15
255,409,Pro,0.0,2023-06-07,2024-02-17
256,167,Pro,56.65,2023-01-25,2023-03-15
257,56,Pro,57.06,2022-11-02,2023-07-23
258,374,Free,0.0,2023-05-24,2023-04-29
259,119,Pro,559.23,2022-07-26,2022-08-30
260,527,Free,0.0,2022-02-13,2023-01-19
261,310,Pro,558.67,2023-12-05,2024-05-07
262,431,Free,0.0,2021-10-17,2022-02-28
263,295,Free,166.19,2021-04-29,2022-02-04
264,16,Free,0.0,2022-10-03,2022-12-26
265,512,Pro,215.61,2022-12-03,2023-04-03
266,182,Free,109.03,2022-09-29,2023-08-02
267,45,Pro,463.0,2021-03-15,2021-12-07
268,361,Free,43.14,2022-10-03,2022-11-05
269,300,Pro,481.09,2021-08-04,2022-02-22
270,253,Pro,54.72,2023-04-17,2023-11-26
271,114,Pro,87.28,2023-12-29,2024-09-19
272,58,Pro,462.16,2021-01-08,2021-05-20
273,130,Pro,0.0,2022-12-05,2023-07-20
274,492,Free,39.69,2022-12-04,2023-04-28
275,300,Free,116.76,2021-09-05,2022-01-22
276,62,Free,0.0,2022-04-01,2022-05-05
277,24,Enterprise,170.21,2022-06-12,
278,324,Pro,52.45,2021-04-07,2021-11-20
279,325,Pro,116.6,2022-04-14,2023-01-24
280,500,Enterprise,493.96,2021-06-13,2021-08-22
281,397,Free,453.01,2022-11-25,2023-04-24
282,115,Pro,0.0,2021-09-14,
283,108,Free,218.89,2022-07-16,2022-11-03
284,74,Free,0.0,2023-03-10,
285,223,Free,0.0,2023-10-14,2024-10-02
286,123,Pro,453.77,2023-02-15,2023-08-03
287,345,Pro,0.0,2023-10-17,2024-10-15
288,420,Enterprise,497.26,2021-05-07,2022-01-01
289,10,Pro,439.03,2021-08-19,2021-12-13
290,416,Enterprise,41.48,2022-01-17,2022-05-25
291,481,Pro,449.21,2021-11-26,2022-05-13
292,510,Pro,0.0,2021-09-22,2021-12-28
293,452,Pro,58.78,2022-08-27,2023-02-04
294,518,Free,46.7,2022-11-23,2023-03-20
295,294,Pro,561.02,2023-08-02,2023-09-05
296,136,Pro,173.71,2021-03-14,2021-11-21
297,528,Pro,439.09,2023-11-05,2024-08-08
298,134,Pro,101.83,2021-01-04,2021-08-28
299,494,Free,85.57,2023-07-10,2023-09-23
300,455,Enterprise,80.09,2022-08-06,
301,5,Pro,105.97,2022-11-09,2023-10-02
302,132,Free,563.08,2022-03-21,2022-10-16
303,108,Pro,0.0,2021-10-07,2021-11-11
304,437,Pro,93.33,2023-07-31,2023-12-10
305,300,Free,197.54,2021-01-23,2021-09-16
306,304,Free,85.74,2022-11-05,2022-10-07
307,117,Free,0.0,2022-10-04,2022-11-05
308,275,Pro,214.91,2023-09-11,2024-02-21
309,397,Enterprise,116.13,2022-03-11,2022-07-13
310,453,Pro,0.0,2023-06-09,
311,323,Free,45.78,2022-02-12,
312,301,Pro,0.0,2023-04-23,2023-04-20
313,446,Pro,194.88,2021-08-19,2022-06-29
314,409,Enterprise,45.79,2021-05-22,2021-11-25
315,204,Free,47.41,2023-04-02,2023-05-27
316,448,Free,51.59,2023-11-29,2024-01-22
317,85,Free,51.34,2023-02-13,2023-11-26
318,135,Enterprise,87.24,2023-02-05,2024-01-31
319,224,Pro,0.0,2022-08-18,2023-01-07
320,491,Pro,425.36,2021-03-18,2021-04-17
321,417,Enterprise,48.11,2022-06-02,2023-01-06
322,213,Free,94.75,2022-11-25,
323,475,Pro,198.58,2021-01-02,2021-10-02
324,215,Free,0.0,2023-02-24,2023-09-10
325,107,Pro,49.92,2023-09-27,
326,475,Enterprise,99.95,2023-05-22,2023-10-25
327,480,Free,44.13,2022-01-03,2022-11-13
328,214,Pro,0.0,2023-08-22,2024-05-27
329,5,Free,101.5,2021-01-01,2021-03-06
330,131,Enterprise,570.41,2022-01-04,2022-07-14
331,409,Pro,0.0,2022-06-17,2023-01-08
332,351,Pro,92.95,2022-04-07,
333,442,Free,53.42,2023-04-06,2023-12-05
334,422,Pro,212.2,2023-01-22,2023-11-30
335,200,Free,555.41,2023-08-19,2024-01-17
336,65,Free,214.64,2021-06-25,2021-11-02
337,510,Free,0.0,2023-08-15,2024-08-03
338,14,Free,455.13,2022-03-11,2022-04-21
339,445,Pro,231.72,2021-05-17,2022-02-11
340,182,Pro,0.0,2022-09-06,2023-05-15
341,202,Free,225.2,2022-03-13,2022-05-12
342,326,Enterprise,52.6,2021-12-01,
343,61,Free,57.32,2023-04-13,2023-09-29
344,131,Pro,80.6,2022-02-02,2022-10-26
345,318,Enterprise,462.76,2022-12-19,2023-11-11
346,62,Pro,56.68,2021-08-20,2021-12-07
347,374,Enterprise,48.72,2022-11-11,2023-04-14
348,32,Enterprise,0.0,2023-11-13,2024-05-26
349,426,Free,112.31,2021-02-25,2021-06-14
350,496,Free,47.33,2023-11-07,2024-06-19
351,357,Free,0.0,2023-09-03,2024-02-21
352,96,Free,168.31,2023-04-02,2023-10-07
353,20,Enterprise,223.42,2021-04-07,2022-01-05
354,83,Free,87.71,2023-01-01,2023-10-04
355,250,Free,46.3,2023-02-05,2023-03-17
356,174,Enterprise,457.05,2022-10-18,2022-11-22
357,321,Pro,56.68,2023-09-10,2024-07-29
358,331,Pro,192.0,2023-06-09,2023-10-01
359,67,Enterprise,198.99,2022-02-06,2022-05-02
360,508,Free,598.57,2021-02-03,2022-01-21
361,253,Pro,44.94,2022-05-07,2022-10-13
362,519,Pro,113.63,2021-04-20,2021-06-02
363,303,Free,229.74,2021-04-05,2021-12-07
364,391,Pro,235.14,2021-07-19,2021-12-22
365,266,Enterprise,49.02,2023-12-04,2024-07-08
366,338,Free,0.0,2022-03-12,2022-06-02
367,52,Pro,95.25,2021-11-24,2022-01-12
368,223,Free,0.0,2022-11-24,2023-08-13
369,76,Free,58.54,2021-03-31,
370,340,Pro,42.65,2021-02-04,2021-11-23
371,218,Free,50.29,2022-08-14,2023-06-20
372,83,Free,58.54,2022-01-04,
373,426,Pro,0.0,2021-05-29,
374,74,Free,0.0,2023-02-01,2023-11-02
375,218,Enterprise,50.94,2021-01-22,
376,234,Pro,459.85,2021-11-22,2022-01-21
377,271,Pro,0.0,2021-05-30,
378,111,Free,53.0,2023-10-04,2023-10-02
379,483,Free,97.68,2023-08-23,2024-02-09
380,74,Pro,455.69,2021-09-07,2021-12-13
381,417,Pro,110.66,2021-01-01,2021-06-20
382,329,Enterprise,101.78,2022-07-05,2023-01-04
383,307,Free,475.78,2023-05-12,2024-04-08
384,156,Pro,450.58,2022-11-22,2023-07-31
385,205,Pro,96.73,2023-06-29,2024-05-31
386,253,Free,58.22,2022-10-17,2023-04-12
387,343,Enterprise,0.0,2022-09-25,2023-01-08
388,262,Free,84.55,2021-11-27,
389,77,Free,0.0,2023-07-28,2024-05-11
390,96,Free,90.31,2023-02-25,2023-04-05
391,429,Pro,0.0,2021-05-26,2021-08-11
392,1,Pro,83.4,2021-06-10,2022-02-27
393,255,Enterprise,214.2,2023-01-14,2023-06-20
394,117,Free,194.04,2023-09-21,2024-02-18
395,11,Pro,56.44,2021-01-04,2021-05-25
396,247,Pro,50.48,2023-09-12,2024-02-29
397,259,Free,55.24,2021-10-07,2022-09-01
398,205,Pro,0.0,2021-11-28,2022-03-21
399,483,Free,0.0,2021-06-10,2021-12-07
400,350,Enterprise,444.0,2022-08-31,2023-04-29
401,237,Free,94.37,2022-01-09,2022-11-14
402,378,Pro,0.0,2021-01-04,
403,61,Pro,52.92,2022-06-20,2023-06-08
404,482,Enterprise,57.08,2023-08-28,2024-03-27
405,278,Pro,417.27,2023-05-31,2024-05-27
406,137,Free,0.0,2022-01-07,2022-10-02
407,173,Pro,113.81,2022-08-03,2023-02-27
408,448,Pro,169.38,2021-03-06,2021-06-20
409,113,Pro,0.0,2022-09-25,
410,233,Pro,109.76,2022-09-29,2023-04-23
411,490,Pro,0.0,2023-09-06,2023-11-16
412,96,Free,229.06,2022-05-10,2023-01-15
413,314,Pro,83.73,2021-06-24,2021-11-27
414,299,Pro,542.97,2021-11-02,2022-08-27
415,323,Pro,202.13,2022-09-04,2023-01-12
416,319,Free,56.02,2023-10-06,2024-09-04
417,107,Pro,46.42,2023-11-08,2024-03-07
418,57,Free,109.52,2021-01-26,2021-09-11
419,83,Pro,0.0,2022-12-22,2023-05-13
420,179,Free,229.36,2022-10-17,2023-05-23
421,395,Enterprise,225.06,2022-12-05,2023-05-07
422,218,Pro,106.25,2023-07-13,
423,291,Free,453.9,2021-03-05,2021-06-17
424,159,Pro,0.0,2022-10-13,2023-01-28
425,150,Free,0.0,2021-09-26,2022-01-13
426,368,Pro,497.88,2023-12-26,2024-06-29
427,293,Free,175.07,2021-06-29,2022-01-23
428,73,Pro,209.2,2021-11-07,2022-03-08
429,42,Enterprise,200.7,2023-08-23,2023-10-16
430,249,Free,54.84,2021-02-08,2021-05-26
431,89,Pro,44.46,2021-11-02,
432,5,Free,582.2,2023-07-23,2024-04-26
433,330,Enterprise,95.26,2022-10-08,2023-08-27
434,156,Pro,416.43,2023-06-26,2023-08-04
435,212,Free,58.6,2021-04-01,
436,515,Enterprise,0.0,2021-11-25,2022-05-30
437,265,Pro,51.69,2022-02-15,
438,49,Free,168.91,2023-03-14,2023-10-23
439,239,Enterprise,79.92,2021-09-04,2022-06-14
440,407,Pro,193.35,2021-11-20,2022-07-23
441,477,Pro,487.99,2021-10-02,2021-11-09
442,250,Free,57.96,2021-05-17,2022-03-21
443,451,Free,225.01,2021-02-18,
444,128,Pro,109.11,2022-04-24,2023-02-15
445,517,Free,226.84,2021-12-04,2022-03-17
446,339,Pro,0.0,2023-09-15,
447,375,Enterprise,0.0,2022-04-14,2022-06-06
448,409,Free,542.46,2023-12-03,2024-04-04
449,433,Free,83.31,2023-08-24,2024-01-18
450,75,Free,192.2,2023-05-21,2024-03-06
451,506,Free,48.25,2023-09-21,2024-03-23
452,452,Pro,102.45,2023-05-29,2024-05-25
453,142,Free,0.0,2021-02-26,2021-05-04
454,131,Free,187.76,2023-05-22,2023-08-27
455,60,Pro,529.52,2021-08-02,2021-11-19
456,410,Pro,590.15,2022-08-31,
457,207,Free,457.31,2022-09-13,2022-12-08
458,24,Free,490.97,2023-04-21,2023-07-16
459,264,Free,53.62,2023-08-12,2024-03-08
460,145,Pro,461.88,2022-12-06,2023-06-25
461,506,Free,107.95,2022-02-01,2022-07-04
462,294,Enterprise,114.47,2021-12-04,2022-02-12
463,74,Free,113.59,2021-12-03,2022-09-06
464,457,Enterprise,0.0,2021-05-14,2022-02-21
465,303,Pro,0.0,2021-09-15,
466,410,Free,197.96,2022-08-30,2022-12-06
467,44,Enterprise,175.42,2021-09-09,2021-10-21
468,221,Pro,0.0,2022-01-26,
469,378,Enterprise,98.11,2023-06-23,2023-10-10
470,384,Pro,81.95,2023-04-13,2023-07-23
471,216,Free,50.37,2023-12-07,
472,286,Enterprise,0.0,2021-05-19,2021-08-22
473,135,Free,207.39,2023-06-14,2024-04-16
474,58,Pro,99.02,2023-05-14,2023-07-15
475,452,Free,45.41,2023-11-04,2023-12-18
476,44,Free,41.56,2022-05-13,
477,493,Free,87.1,2021-08-07,2022-03-07
478,163,Pro,0.0,2023-11-07,2024-10-28
479,511,Free,115.22,2023-11-21,2024-10-24
480,203,Free,184.73,2022-03-12,2023-01-06
481,469,Free,188.67,2022-09-23,2023-01-24
482,456,Free,98.23,2021-06-18,2022-02-22
483,67,Pro,0.0,2021-09-22,2022-02-04
484,360,Enterprise,89.93,2023-08-13,2024-03-17
485,110,Pro,562.61,2023-11-08,2024-09-17
486,384,Free,533.28,2023-09-27,2023-12-23
487,503,Free,520.01,2022-05-11,2022-08-22
488,522,Pro,0.0,2023-09-21,
489,28,Pro,111.95,2022-01-24,2022-11-24
490,23,Pro,477.02,2023-12-11,2024-10-21
491,239,Enterprise,207.45,2022-04-08,2023-03-20
492,28,Free,111.81,2023-02-06,2023-12-15
493,452,Free,0.0,2021-08-09,
494,20,Pro,202.64,2021-03-09,2021-07-07
495,505,Free,111.36,2022-09-16,2023-03-01
496,390,Pro,43.09,2022-05-18,2022-09-30
497,296,Free,590.72,2022-11-19,2023-10-01
498,508,Pro,177.12,2021-07-25,2021-09-28
499,233,Free,507.11,2021-04-02,2022-03-31
500,8,Enterprise,82.33,2022-03-06,
501,388,Pro,90.4,2023-09-02,2024-03-13
502,207,Enterprise,528.8,2022-01-06,2022-08-16
503,191,Free,44.66,2023-11-24,2024-02-06
504,487,Free,100.68,2021-06-13,
505,276,Pro,183.42,2023-03-01,2024-01-19
506,124,Free,41.5,2021-05-26,2021-08-19
507,85,Pro,49.99,2022-01-12,2022-07-17
508,255,Free,98.0,2023-11-22,2024-08-03
509,271,Pro,48.91,2022-06-11,
510,242,Pro,571.29,2023-10-23,2024-08-29
511,66,Pro,216.38,2023-03-28,2023-08-09
512,357,Enterprise,593.92,2021-10-02,2022-01-14
513,323,Pro,51.99,2021-07-21,
514,411,Free,105.68,2021-01-03,2021-06-01
515,199,Pro,115.71,2021-04-29,2021-08-22
516,437,Free,42.63,2023-04-13,2024-01-03
517,407,Enterprise,46.44,2022-11-23,2023-01-31
518,377,Free,437.72,2022-04-20,2022-08-09
519,380,Pro,52.42,2022-10-24,2023-02-16
520,79,Free,88.3,2023-01-07,2023-05-27
521,511,Pro,85.41,2022-05-12,2023-04-17
522,7,Enterprise,197.22,2021-12-08,2022-02-02
523,205,Enterprise,55.12,2021-06-17,
524,524,Pro,190.17,2023-07-21,2024-02-18
525,176,Pro,199.91,2022-06-26,2022-08-13
526,437,Enterprise,0.0,2022-02-06,2023-01-20
527,254,Pro,109.77,2022-06-04,
528,397,Free,80.37,2021-02-12,2021-08-11
529,422,Pro,108.64,2023-10-02,2023-11-05
530,432,Enterprise,45.3,2022-01-18,2022-10-18
531,187,Free,410.57,2023-01-10,2023-11-27
532,244,Pro,0.0,2023-09-14,2024-06-26
533,360,Enterprise,112.98,2022-12-24,2023-04-20
534,158,Pro,0.0,2021-01-15,2021-02-21
535,300,Enterprise,47.31,2023-05-15,2023-11-17
536,453,Pro,47.83,2021-10-22,2022-04-17
537,298,Free,492.67,2023-10-29,2023-12-10
538,285,Pro,107.93,2023-11-24,2024-02-02
539,53,Enterprise,43.4,2023-09-11,
540,509,Free,0.0,2023-02-24,2023-06-26
541,4,Free,46.8,2021-03-08,2021-05-18
542,107,Free,497.34,2022-08-08,
543,84,Pro,557.82,2021-03-21,2021-08-01
544,211,Free,103.58,2023-12-13,2024-03-03
545,337,Pro,0.0,2023-03-11,2023-07-01
546,475,Enterprise,113.04,2023-12-11,
547,10,Free,206.94,2021-04-20,
548,116,Enterprise,103.98,2022-04-26,2022-06-03
549,329,Pro,174.88,2021-11-06,2021-12-20
550,380,Free,54.94,2023-06-18,
551,392,Pro,0.0,2022-05-10,
552,446,Free,90.5,2022-09-18,2023-04-09
553,8,Enterprise,167.37,2023-08-06,2023-07-30
