account_id,company_name,industry,company_size,country,acquisition_channel,account_created_at
93,Company_93,Retail,201-1000,UK,Outbound,2023-04-10
94,Company_94,Software,1-10,UK,Self-serve,2021-05-14
95,Company_95,Manufacturing,1-10,UK,Outbound,2023-02-12
96,Company_96,Software,1-10,ES,Partner,2022-02-01
97,Company_97,Finance,11-50,US,Partner,2023-04-14
98,Company_98,Retail,11-50,FR,Partner,2022-10-15
99,Company_99,Manufacturing,1-10,ES,Partner,2021-12-24
100,Company_100,Retail,11-50,DE,Self-serve,2023-07-16
101,Company_101,,11-50,FR,Inbound,2023-04-27
102,Company_102,Software,11-50,DE,Inbound,2021-12-31
103,Company_103,Finance,201-1000,IT,Partner,2023-09-20
104,Company_104,Finance,11-50,ES,Outbound,2022-07-19
105,Company_105,Finance,1-10,FR,Self-serve,2023-01-18
106,Company_106,Software,201-1000,ES,Partner,2023-01-02
107,Company_107,Retail,11-50,UK,Self-serve,2021-03-13
108,Company_108,,11-50,ES,Self-serve,2021-01-12
109,Company_109,Retail,1000+,ES,Partner,2022-07-15
110,Company_110,Retail,51-200,IT,Self-serve,2022-09-11
111,Company_111,Finance,11-50,UK,Inbound,2022-08-03
112,Company_112,Retail,11-50,IT,Outbound,2022-10-23
113,Company_113,Retail,1-10,ES,Inbound,2023-03-10
114,Company_114,Healthcare,11-50,UK,Self-serve,2021-05-13
115,Company_115,Software,51-200,US,Self-serve,2023-09-24
116,Company_116,Manufacturing,1-10,UK,Inbound,2022-05-04
117,Company_117,Software,11-50,IT,Partner,2023-03-31
118,Company_118,Finance,51-200,fr ,Outbound,2022-04-28
119,Company_119,Retail,51-200,US,Partner,2023-01-03
120,Company_120,Healthcare,51-200,UK,Inbound,2023-03-28
121,Company_121,Finance,11-50,UK,Inbound,2021-06-12
122,Company_122,Retail,11-50,ES,Outbound,2021-12-12
123,Company_123,Retail,1-10,DE,Outbound,2023-07-07
124,Company_124,Manufacturing,51-200,DE,Inbound,2022-02-03
125,Company_125,Finance,11-50,ES,Outbound,2021-08-22
126,Company_126,Retail,11-50,UK,Inbound,2021-03-08
127,Company_127,Healthcare,201-1000,UK,Self-serve,2021-06-04
128,Company_128,Retail,1-10,US,Self-serve,2021-09-28
129,Company_129,Healthcare,201-1000,ES,Self-serve,2021-04-17
130,Company_130,Finance,51-200,US,Self-serve,2022-12-18
131,Company_131,Retail,51-200,ES,Partner,2023-01-02
132,Company_132,Software,11-50,UK,Self-serve,2021-12-12
133,Company_133,Retail,51-200,FR,Outbound,2023-04-06
134,Company_134,Retail,1000+,UK,Outbound,2022-10-13
135,Company_135,Retail,1-10,FR,Inbound,2023-10-13
136,Company_136,Manufacturing,1-10,UK,Inbound,2022-01-31
137,Company_137,Retail,11-50,FR,Inbound,2023-08-17
138,Company_138,Healthcare,1-10,IT,Inbound,2022-10-08
139,Company_139,Retail,1000+,DE,Inbound,2023-10-22
140,Company_140,Retail,201-1000,DE,Self-serve,2022-12-15
141,Company_141,Healthcare,1-10,FR,Inbound,2023-12-29
142,Company_142,Retail,11-50,FR,Self-serve,2022-03-20
143,Company_143,Finance,11-50,FR,Outbound,2022-04-06
144,Company_144,Retail,1000+,ES,Self-serve,2023-08-28
145,Company_145,,11-50,FR,Partner,2021-05-27
146,Company_146,Retail,11-50,DE,Self-serve,2021-01-07
147,Company_147,Retail,51-200,IT,Inbound,2023-06-04
148,Company_148,Retail,201-1000,DE,Partner,2021-05-23
149,Company_149,Healthcare,201-1000,UK,Partner,2022-03-19
150,Company_150,Software,51-200,DE,Partner,2022-08-31
151,Company_151,Healthcare,11-50,US,Partner,2023-11-15
152,Company_152,Retail,11-50,US,Partner,2021-06-23
153,Company_153,Finance,11-50,IT,Self-serve,2021-07-10
154,Company_154,Manufacturing,51-200,US,Partner,2021-11-23
155,Company_155,Software,201-1000,US,Partner,2021-05-26
156,Company_156,Manufacturing,1000+,IT,Inbound,2021-09-19
157,Company_157,Software,201-1000,US,Outbound,2021-01-30
158,Company_158,Retail,201-1000,ES,Partner,2023-06-10
159,Company_159,Finance,1000+,IT,Self-serve,2023-02-15
160,Company_160,Finance,51-200,UK,Outbound,2021-10-08
161,Company_161,Retail,1000+,ES,Self-serve,2022-12-10
162,Company_162,Software,51-200,UK,Outbound,2022-05-14
163,Company_163,Healthcare,1-10,ES,Outbound,2022-03-27
164,Company_164,Manufacturing,51-200,DE,Outbound,2023-08-08
165,Company_165,Healthcare,1000+,UK,Self-serve,2021-06-06
166,Company_166,Software,1-10,IT,Inbound,2022-06-04
167,Company_167,Software,51-200,DE,Self-serve,2021-11-22
168,Company_168,Retail,11-50,FR,Inbound,2023-08-22
169,Company_169,Healthcare,11-50,US,Inbound,2021-04-07
170,Company_170,Finance,1000+,ES,Inbound,2022-11-03
171,Company_171,Finance,11-50,ES,Inbound,2022-09-30
172,Company_172,Healthcare,51-200,FR,Self-serve,2023-06-02
173,Company_173,Software,11-50,UK,Partner,2022-10-05
174,Company_174,Healthcare,1000+,fr ,Outbound,2022-03-04
175,Company_175,Software,11-50,UK,Self-serve,2022-02-04
176,Company_176,Finance,1-10,DE,Inbound,2022-08-25
177,Company_177,Finance,11-50,fr ,Outbound,2022-08-26
178,Company_178,Healthcare,11-50,UK,Inbound,2021-01-21
179,Company_179,Healthcare,201-1000,UK,Self-serve,2022-12-10
180,Company_180,Finance,11-50,DE,Self-serve,2023-01-14
181,Company_181,,11-50,DE,Inbound,2022-07-21
182,Company_182,Healthcare,11-50,UK,Partner,2021-01-24
183,Company_183,Finance,51-200,UK,Partner,2023-03-07
184,Company_184,Manufacturing,11-50,FR,Partner,2023-03-30
185,Company_185,Healthcare,51-200,ES,Partner,2021-05-12
186,Company_186,Manufacturing,51-200,DE,Self-serve,2023-12-24
187,Company_187,Manufacturing,1-10,ES,Inbound,2022-02-02
188,Company_188,Finance,1-10,ES,Partner,2023-11-14
189,Company_189,Retail,51-200,IT,Outbound,2023-08-11
190,Company_190,Software,1000+,UK,Partner,2022-11-20
191,Company_191,Software,201-1000,ES,Partner,2023-05-29
192,Company_192,Retail,51-200,US,Inbound,2023-05-10
193,Company_193,Finance,1000+,DE,Inbound,2021-12-04
194,Company_194,Software,201-1000,UK,Self-serve,2021-09-11
195,Company_195,Retail,51-200,fr ,Partner,2022-02-03
196,Company_196,Healthcare,51-200,UK,Inbound,2022-05-21
197,Company_197,Finance,201-1000,DE,Inbound,2021-06-24
198,Company_198,Software,201-1000,DE,Self-serve,2023-03-22
199,Company_199,Healthcare,11-50,IT,Inbound,2021-03-19
200,Company_200,Software,201-1000,IT,Outbound,2021-05-24
201,Company_201,Retail,51-200,ES,Outbound,2022-01-02
202,Company_202,Retail,1-10,DE,Outbound,2021-11-14
203,Company_203,Retail,1-10,US,Inbound,2023-08-25
204,Company_204,,201-1000,FR,Inbound,2021-07-08
205,Company_205,Software,11-50,UK,Self-serve,2021-09-28
206,Company_206,Healthcare,201-1000,DE,Partner,2021-10-11
207,Company_207,Software,51-200,IT,Partner,2022-03-24
208,Company_208,Software,1000+,US,Self-serve,2021-05-03
209,Company_209,Healthcare,201-1000,FR,Outbound,2022-02-19
210,Company_210,Finance,1-10,FR,Outbound,2021-08-14
211,Company_211,Retail,201-1000,ES,Partner,2021-09-15
212,Company_212,Manufacturing,51-200,UK,Self-serve,2022-11-12
213,Company_213,Retail,11-50,ES,Inbound,2021-07-09
214,Company_214,Healthcare,51-200,IT,Partner,2023-11-15
215,Company_215,Healthcare,1-10,DE,Inbound,2021-05-06
216,Company_216,Finance,11-50,UK,Inbound,2022-08-21
217,Company_217,Manufacturing,51-200,FR,Self-serve,2022-06-07
218,Company_218,Manufacturing,11-50,DE,Self-serve,2023-10-11
219,Company_219,Finance,51-200,DE,Partner,2021-04-06
220,Company_220,Software,201-1000,FR,Partner,2022-02-05
221,Company_221,Healthcare,51-200,FR,Partner,2022-05-19
222,Company_222,Manufacturing,1-10,UK,Partner,2023-02-19
223,Company_223,Finance,11-50,US,Outbound,2021-07-14
224,Company_224,Finance,11-50,ES,Outbound,2022-01-08
225,Company_225,Manufacturing,11-50,UK,Inbound,2021-12-21
226,Company_226,Finance,201-1000,UK,Partner,2022-07-15
227,Company_227,Retail,11-50,DE,Inbound,2021-10-15
228,Company_228,,51-200,UK,Self-serve,2021-06-13
229,Company_229,Manufacturing,11-50,US,Inbound,2021-01-31
230,Company_230,,201-1000,US,Partner,2023-04-21
231,Company_231,Manufacturing,11-50,US,Partner,2023-08-22
232,Company_232,Finance,51-200,US,Self-serve,2021-10-15
233,Company_233,Manufacturing,51-200,FR,Partner,2023-06-09
234,Company_234,Manufacturing,11-50,IT,Partner,2022-05-30
235,Company_235,Retail,51-200,US,Partner,2022-02-04
236,Company_236,Retail,11-50,FR,Partner,2023-12-02
237,Company_237,Software,1000+,UK,Outbound,2022-11-04
238,Company_238,Manufacturing,51-200,DE,Inbound,2022-05-30
239,Company_239,Manufacturing,51-200,ES,Self-serve,2023-03-17
240,Company_240,Finance,1000+,DE,Outbound,2023-09-24
241,Company_241,Retail,11-50,IT,Outbound,2023-03-13
242,Company_242,Healthcare,1000+,IT,Partner,2023-07-14
243,Company_243,Software,1-10,UK,Self-serve,2023-11-20
244,Company_244,,1000+,UK,Partner,2022-07-04
245,Company_245,Retail,51-200,FR,Outbound,2022-10-04
246,Company_246,Manufacturing,51-200,DE,Partner,2021-05-28
247,Company_247,,11-50,DE,Partner,2021-05-01
248,Company_248,Manufacturing,11-50,IT,Outbound,2021-07-22
249,Company_249,Software,1000+,IT,Partner,2022-10-02
250,Company_250,Software,11-50,US,Self-serve,2022-04-08
251,Company_251,Retail,201-1000,fr ,Inbound,2023-10-12
252,Company_252,Software,1-10,US,Outbound,2022-04-23
253,Company_253,Software,201-1000,FR,Inbound,2023-06-27
254,Company_254,Retail,201-1000,US,Inbound,2023-04-22
255,Company_255,Manufacturing,11-50,US,Outbound,2023-10-03
256,Company_256,Retail,1000+,FR,Self-serve,2023-03-27
257,Company_257,Healthcare,11-50,ES,Partner,2023-01-30
258,Company_258,Finance,1-10,US,Outbound,2021-03-30
259,Company_259,Retail,11-50,ES,Self-serve,2021-12-02
260,Company_260,Software,1000+,UK,Inbound,2022-02-07
261,Company_261,Finance,1-10,UK,Self-serve,2022-04-11
262,Company_262,Retail,51-200,US,Self-serve,2021-02-12
263,Company_263,Manufacturing,1-10,UK,Self-serve,2021-04-03
264,Company_264,Manufacturing,51-200,US,Inbound,2021-09-07
265,Company_265,,1-10,US,Self-serve,2023-06-10
266,Company_266,Finance,1000+,DE,Inbound,2023-11-13
267,Company_267,Retail,1000+,IT,Self-serve,2023-11-08
268,Company_268,Finance,1000+,IT,Outbound,2021-10-20
269,Company_269,Finance,201-1000,IT,Self-serve,2022-05-28
270,Company_270,Healthcare,11-50,IT,Partner,2021-04-30
271,Company_271,Finance,11-50,DE,Partner,2021-12-10
272,Company_272,,11-50,UK,Self-serve,2023-01-21
273,Company_273,Finance,11-50,IT,Outbound,2022-08-14
274,Company_274,Software,11-50,ES,Inbound,2021-04-15
275,Company_275,Software,1000+,FR,Self-serve,2021-04-23
276,Company_276,Healthcare,11-50,IT,Partner,2023-09-30
277,Company_277,Finance,11-50,UK,Outbound,2021-09-04
278,Company_278,Software,1000+,FR,Outbound,2022-11-18
279,Company_279,Finance,11-50,FR,Outbound,2022-12-12
280,Company_280,Finance,11-50,FR,Outbound,2023-01-28
281,Company_281,Manufacturing,51-200,DE,Outbound,2022-08-22
282,Company_282,Healthcare,51-200,DE,Partner,2022-08-29
283,Company_283,Healthcare,11-50,IT,Self-serve,2021-10-30
284,Company_284,,11-50,UK,Outbound,2022-01-31
285,Company_285,Software,51-200,ES,Outbound,2023-10-18
286,Company_286,Healthcare,1-10,FR,Self-serve,2021-02-03
287,Company_287,Software,51-200,ES,Outbound,2021-06-11
288,Company_288,Software,51-200,ES,Partner,2021-11-10
289,Company_289,Healthcare,51-200,FR,Self-serve,2023-01-29
290,Company_290,Software,11-50,FR,Inbound,2021-03-07
291,Company_291,Healthcare,11-50,UK,Self-serve,2022-05-07
292,Company_292,Manufacturing,11-50,FR,Inbound,2023-04-25
293,Company_293,Finance,201-1000,US,Partner,2021-05-26
294,Company_294,Healthcare,51-200,IT,Outbound,2022-04-16
295,Company_295,Manufacturing,51-200,IT,Inbound,2022-06-04
296,Company_296,Retail,1000+,US,Partner,2023-01-10
297,Company_297,Retail,201-1000,IT,Inbound,2021-09-10
298,Company_298,Software,11-50,UK,Self-serve,2023-07-04
299,Company_299,Healthcare,201-1000,UK,Self-serve,2023-08-17
300,Company_300,Finance,51-200,US,Partner,2021-11-20
301,Company_301,Finance,51-200,ES,Partner,2022-10-13
302,Company_302,Software,1-10,UK,Partner,2023-08-16
303,Company_303,Finance,11-50,UK,Partner,2022-05-28
304,Company_304,Finance,11-50,IT,Outbound,2021-05-17
305,Company_305,Software,201-1000,DE,Partner,2022-09-11
306,Company_306,Manufacturing,51-200,UK,Outbound,2022-07-31
307,Company_307,Software,1-10,FR,Inbound,2023-10-14
308,Company_308,Finance,1-10,DE,Outbound,2023-05-02
309,Company_309,Retail,1-10,ES,Outbound,2021-05-21
310,Company_310,Manufacturing,201-1000,FR,Partner,2023-03-22
311,Company_311,Software,1000+,UK,Inbound,2023-03-31
312,Company_312,Healthcare,11-50,UK,Self-serve,2022-12-25
313,Company_313,Retail,1-10,FR,Partner,2022-10-08
314,Company_314,Retail,51-200,US,Partner,2022-09-11
315,Company_315,Manufacturing,51-200,FR,Outbound,2022-06-18
316,Company_316,Finance,51-200,IT,Outbound,2021-08-30
317,Company_317,Finance,51-200,IT,Outbound,2023-05-15
318,Company_318,Healthcare,201-1000,UK,Outbound,2021-09-19
319,Company_319,Manufacturing,51-200,FR,Inbound,2022-10-18
320,Company_320,Healthcare,201-1000,UK,Inbound,2021-01-11
321,Company_321,Manufacturing,51-200,ES,Partner,2022-01-31
322,Company_322,Software,51-200,UK,Partner,2022-05-06
323,Company_323,Manufacturing,51-200,ES,Partner,2022-11-01
324,Company_324,Healthcare,51-200,UK,Self-serve,2021-10-18
325,Company_325,Software,11-50,IT,Partner,2022-11-01
326,Company_326,Finance,11-50,US,Partner,2021-09-21
327,Company_327,Manufacturing,1-10,IT,Outbound,2023-03-21
328,Company_328,Software,1-10,US,Outbound,2022-12-01
329,Company_329,Healthcare,11-50,IT,Partner,2023-06-07
330,Company_330,Software,201-1000,ES,Inbound,2021-06-21
331,Company_331,Software,51-200,US,Outbound,2022-06-21
332,Company_332,Manufacturing,11-50,DE,Outbound,2021-09-16
333,Company_333,Software,11-50,IT,Inbound,2023-08-28
334,Company_334,Software,201-1000,DE,Inbound,2023-03-29
335,Company_335,Manufacturing,201-1000,IT,Outbound,2023-08-08
336,Company_336,Manufacturing,51-200,IT,Self-serve,2022-03-11
337,Company_337,Healthcare,201-1000,UK,Partner,2021-03-04
338,Company_338,,1000+,ES,Self-serve,2023-04-21
339,Company_339,Healthcare,51-200,UK,Self-serve,2023-02-24
340,Company_340,Retail,1000+,IT,Partner,2021-07-17
341,Company_341,Manufacturing,1-10,FR,Inbound,2021-07-28
342,Company_342,Software,201-1000,US,Outbound,2022-02-23
343,Company_343,Manufacturing,1-10,US,Outbound,2023-05-05
344,Company_344,Manufacturing,11-50,UK,Outbound,2022-11-12
345,Company_345,Retail,11-50,UK,Outbound,2022-05-23
346,Company_346,Retail,1-10,UK,Self-serve,2022-09-30
347,Company_347,Software,51-200,DE,Inbound,2021-10-30
348,Company_348,,11-50,IT,Partner,2021-11-21
349,Company_349,Manufacturing,1-10,DE,Self-serve,2023-12-16
350,Company_350,Healthcare,11-50,IT,Outbound,2023-12-23
351,Company_351,Retail,1-10,FR,Outbound,2023-11-28
352,Company_352,Retail,1000+,DE,Self-serve,2022-03-03
353,Company_353,Manufacturing,1000+,ES,Inbound,2023-12-05
354,Company_354,Manufacturing,11-50,IT,Partner,2022-12-01
355,Company_355,Healthcare,51-200,DE,Partner,2021-05-23
356,Company_356,Manufacturing,1-10,US,Self-serve,2021-07-02
357,Company_357,Software,11-50,IT,Outbound,2022-03-12
358,Company_358,Manufacturing,51-200,UK,Outbound,2021-07-09
359,Company_359,Manufacturing,11-50,UK,Outbound,2022-01-01
360,Company_360,Healthcare,11-50,IT,Outbound,2021-01-16
361,Company_361,Manufacturing,1-10,IT,Self-serve,2021-07-27
362,Company_362,Retail,1-10,US,Inbound,2021-09-18
363,Company_363,Software,1-10,UK,Self-serve,2021-10-01
364,Company_364,Finance,11-50,UK,Outbound,2021-08-07
365,Company_365,Manufacturing,11-50,ES,Outbound,2022-12-22
366,Company_366,Retail,11-50,IT,Outbound,2023-05-21
367,Company_367,Manufacturing,11-50,DE,Partner,2022-11-24
368,Company_368,Finance,51-200,UK,Partner,2021-07-14
369,Company_369,Manufacturing,1-10,US,Outbound,2023-04-20
370,Company_370,Software,11-50,UK,Inbound,2022-02-10
371,Company_371,Healthcare,51-200,DE,Self-serve,2022-05-04
372,Company_372,Manufacturing,201-1000,ES,Inbound,2023-10-12
373,Company_373,Manufacturing,1000+,IT,Inbound,2021-12-06
374,Company_374,Finance,11-50,ES,Outbound,2022-02-24
375,Company_375,Manufacturing,1000+,ES,Partner,2022-05-13
376,Company_376,Finance,1000+,IT,Self-serve,2021-06-22
377,Company_377,Healthcare,1-10,FR,Outbound,2022-08-08
378,Company_378,Healthcare,51-200,UK,Partner,2023-08-31
379,Company_379,Healthcare,11-50,UK,Outbound,2022-06-30
380,Company_380,Retail,201-1000,DE,Inbound,2021-06-28
381,Company_381,Healthcare,51-200,ES,Outbound,2021-03-22
382,Company_382,Retail,1000+,FR,Partner,2023-10-31
383,Company_383,Healthcare,1-10,US,Inbound,2022-08-25
384,Company_384,Healthcare,11-50,FR,Partner,2023-11-04
385,Company_385,Finance,11-50,DE,Inbound,2021-09-13
386,Company_386,Manufacturing,51-200,IT,Inbound,2021-08-17
387,Company_387,Healthcare,51-200,ES,Outbound,2023-03-04
388,Company_388,Healthcare,51-200,ES,Partner,2021-10-09
389,Company_389,,1-10,IT,Self-serve,2022-10-11
390,Company_390,Retail,1000+,UK,Partner,2023-01-16
391,Company_391,Retail,11-50,IT,Inbound,2021-11-14
392,Company_392,Finance,11-50,IT,Partner,2022-01-10
393,Company_393,Finance,11-50,UK,Partner,2021-07-12
394,Company_394,Software,11-50,IT,Inbound,2021-05-28
395,Company_395,Manufacturing,11-50,DE,Inbound,2023-11-10
396,Company_396,Software,11-50,US,Self-serve,2022-06-26
397,Company_397,Software,11-50,IT,Outbound,2021-06-02
398,Company_398,Software,201-1000,ES,Inbound,2021-01-07
399,Company_399,Retail,201-1000,UK,Self-serve,2022-09-15
400,Company_400,Finance,51-200,DE,Self-serve,2021-09-26
401,Company_401,Retail,51-200,FR,Self-serve,2023-08-27
402,Company_402,Manufacturing,51-200,IT,Inbound,2022-11-09
403,Company_403,Finance,51-200,ES,Self-serve,2022-07-24
404,Company_404,,1-10,DE,Outbound,2023-12-05
405,Company_405,Software,1-10,FR,Self-serve,2021-07-02
406,Company_406,Retail,11-50,DE,Inbound,2021-03-06
407,Company_407,Healthcare,1-10,FR,Outbound,2021-08-08
408,Company_408,Retail,1-10,DE,Outbound,2021-04-10
409,Company_409,Finance,51-200,US,Self-serve,2022-08-23
410,Company_410,Finance,1000+,UK,Partner,2022-05-23
411,Company_411,Software,1-10,IT,Self-serve,2022-08-03
412,Company_412,Software,51-200,IT,Outbound,2023-06-20
413,Company_413,Software,11-50,DE,Partner,2022-09-11
414,Company_414,Finance,1-10,UK,Inbound,2021-07-07
415,Company_415,Healthcare,201-1000,ES,Partner,2021-02-10
416,Company_416,Healthcare,51-200,FR,Inbound,2022-09-22
417,Company_417,Manufacturing,1000+,US,Self-serve,2021-03-30
418,Company_418,Healthcare,51-200,FR,Inbound,2022-01-02
419,Company_419,Finance,51-200,DE,Self-serve,2022-09-18
420,Company_420,Finance,11-50,UK,Self-serve,2022-05-29
421,Company_421,,51-200,FR,Self-serve,2023-07-09
422,Company_422,Retail,51-200,IT,Self-serve,2021-06-11
423,Company_423,Retail,1-10,ES,Self-serve,2023-05-12
424,Company_424,Finance,1-10,UK,Self-serve,2023-07-17
425,Company_425,Manufacturing,11-50,DE,Partner,2022-04-21
426,Company_426,Finance,51-200,ES,Self-serve,2022-04-05
427,Company_427,Retail,51-200,UK,Inbound,2022-03-07
428,Company_428,Manufacturing,11-50,IT,Outbound,2021-01-30
429,Company_429,Manufacturing,201-1000,fr ,Inbound,2022-06-26
430,Company_430,Manufacturing,51-200,FR,Outbound,2022-11-02
431,Company_431,Manufacturing,1-10,FR,Partner,2021-09-26
432,Company_432,Finance,201-1000,US,Inbound,2021-10-09
433,Company_433,Finance,11-50,FR,Partner,2021-12-19
434,Company_434,Software,11-50,FR,Outbound,2023-04-13
435,Company_435,Finance,1-10,US,Self-serve,2023-12-26
436,Company_436,Manufacturing,11-50,US,Outbound,2021-01-13
437,Company_437,Healthcare,11-50,UK,Inbound,2021-01-07
438,Company_438,Retail,51-200,IT,Self-serve,2022-04-01
439,Company_439,Software,51-200,IT,Outbound,2021-11-17
440,Company_440,Healthcare,201-1000,ES,Outbound,2022-12-02
441,Company_441,Healthcare,1-10,IT,Outbound,2021-11-15
442,Company_442,Retail,51-200,US,Inbound,2021-12-20
443,Company_443,Manufacturing,11-50,ES,Outbound,2022-04-08
444,Company_444,Software,11-50,ES,Outbound,2022-02-14
445,Company_445,Retail,201-1000,IT,Partner,2022-11-12
446,Company_446,Manufacturing,11-50,ES,Partner,2022-03-04
447,Company_447,Manufacturing,51-200,FR,Self-serve,2021-06-23
448,Company_448,Healthcare,11-50,US,Inbound,2023-01-16
449,Company_449,Retail,1-10,FR,Outbound,2021-11-02
450,Company_450,Retail,201-1000,FR,Outbound,2023-10-15
451,Company_451,Retail,51-200,IT,Partner,2022-02-06
452,Company_452,Healthcare,11-50,IT,Inbound,2023-10-15
453,Company_453,Software,11-50,DE,Outbound,2021-02-22
454,Company_454,,51-200,UK,Outbound,2021-08-30
455,Company_455,Healthcare,11-50,ES,Inbound,2023-09-23
